#online:true
#name:ANSI(Big5)
#id:big5@big5
#type:bin
#pattern:
#base:
#description:BIG5碼又稱為大五碼，為民國73年所提出的常用電腦漢字集內碼，以2個位元組(byte)編碼，內含13,051個中文字，適用於Windows95／98／ME等以上作業系統及大部分的應用程式。
01-4F7A	AB58
01-4F7B	AB59
01-4F7C	AB5A
01-4F7D	AB5B
01-4F7E	AB5C
01-5021	AB5D
01-5022	AB5E
01-5023	AB5F
01-5024	AB60
01-5025	AB61
01-5026	AB62
01-5027	AB63
01-5028	AB64
01-5029	AB65
01-502A	AB66
01-502B	AB67
01-502C	AB68
01-502D	AB69
01-502E	AB6A
01-502F	AB6B
01-5030	AB6C
01-5031	AB6D
01-5032	AB6E
01-5033	AB6F
01-5034	AB70
01-5035	AB71
01-5036	AB72
01-5037	AB73
01-5038	AB74
01-5039	AB75
01-503A	AB76
01-503B	AB77
01-503C	AB78
01-503D	AB79
01-503E	AB7A
01-503F	AB7B
01-5040	AB7C
01-5041	AB7D
01-5042	AB7E
01-5043	ABA1
01-5044	ABA2
01-5045	ABA3
01-5046	ABA4
01-5047	ABA5
01-5048	ABA6
01-5049	ABA7
01-504A	ABA8
01-504B	ABA9
01-504C	ABAA
01-504D	ABAB
01-504E	ABAC
01-504F	ABAD
01-5050	ABAE
01-5051	ABAF
01-5052	ABB0
01-5053	ABB1
01-5054	ABB2
01-5055	ABB3
01-5056	ABB4
01-5057	ABB5
01-5058	ABB6
01-5059	ABB7
01-505A	ABB8
01-505B	ABB9
01-505C	ABBA
01-505D	ABBB
01-505E	ABBC
01-505F	ABBD
01-5060	ABBE
01-5061	ABBF
01-5062	ABC0
01-5063	ABC1
01-5064	ABC2
01-5065	ABC3
01-5066	ABC4
01-5067	ABC5
01-5068	ABC6
01-5069	ABC7
01-506A	ABC8
01-506B	ABC9
01-506C	ABCA
01-506D	ABCB
01-506E	ABCC
01-506F	ABCD
01-5070	ABCE
01-5071	ABCF
01-5072	ABD0
01-5073	ABD1
01-5074	ABD2
01-5075	ABD3
01-5076	ABD4
01-5077	ABD5
01-5078	ABD6
01-5079	ABD7
01-507A	ABD8
01-507B	ABD9
01-507C	ABDA
01-507D	ABDB
01-507E	ABDC
01-5121	ABDD
01-5122	ABDE
01-5123	ABDF
01-5124	ABE0
01-5125	ABE1
01-5126	ABE2
01-5127	ABE3
01-5128	ABE4
01-5129	ABE5
01-512A	ABE6
01-512B	ABE7
01-512C	ABE8
01-512D	ABE9
01-512E	ABEA
01-512F	ABEB
01-5130	ABEC
01-5131	ABED
01-5132	ABEE
01-5133	ABEF
01-5134	ABF0
01-5135	ABF1
01-5136	ABF2
01-5137	ABF3
01-5138	ABF4
01-5139	ABF5
01-513A	ABF6
01-513B	ABF7
01-513C	ABF8
01-513D	ABF9
01-513E	ABFA
01-513F	ABFB
01-5140	ABFC
01-5141	ABFD
01-5142	ABFE
01-5143	AC40
01-5144	AC41
01-5145	AC42
01-5146	AC43
01-5147	AC44
01-5148	AC45
01-5149	AC46
01-514A	AC47
01-514B	AC48
01-514C	AC49
01-514D	AC4A
01-514E	AC4B
01-514F	AC4C
01-5150	AC4D
01-5151	AC4E
01-5152	AC4F
01-5153	AC50
01-5154	AC51
01-5155	AC52
01-5156	AC53
01-5157	AC54
01-5158	AC55
01-5159	AC56
01-515A	AC57
01-515B	AC58
01-515C	AC59
01-515D	AC5A
01-515E	AC5B
01-515F	AC5C
01-5160	AC5D
01-5161	AC5E
01-5162	AC5F
01-5163	AC60
01-5164	AC61
01-5165	AC62
01-5166	AC63
01-5167	AC64
01-5168	AC65
01-5169	AC66
01-516A	AC67
01-516B	AC68
01-516C	AC69
01-516D	AC6A
01-516E	AC6B
01-516F	AC6C
01-5170	AC6D
01-5171	AC6E
01-5172	AC6F
01-5173	AC70
01-5174	AC71
01-5175	AC72
01-5176	AC73
01-5177	AC74
01-5178	AC75
01-5179	AC76
01-517A	AC77
01-517B	AC78
01-517C	AC79
01-517D	AC7A
01-517E	AC7B
01-5221	AC7C
01-5222	AC7D
01-5223	AC7E
01-5224	ACA1
01-5225	ACA2
01-5226	ACA3
01-5227	ACA4
01-5228	ACA5
01-5229	ACA6
01-522A	ACA7
01-522B	ACA8
01-522C	ACA9
01-522D	ACAA
